ID|Committee Name|Statement Due|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Candidate Last Name|Candidate First Name|Interest Paid
1521|Friends of Robak|Report of Independent Expenditure|2003-11-02|2003-01-31|$3000.00|REDUCED|$0.00|2003-08-04||||$0.00
1522|Seng for Mayor|03 Post General Campaign Statement|2003-06-16|2003-06-20|$100.00|PAID|$0.00||2003-09-22|Seng|Colleen|$0.00
1523|Friends of Suttle|Report of Independent Expenditure|2003-11-02|2003-01-31|$3000.00|REDUCED|$0.00|2003-08-04||||$0.00
1524|Rod Johnson|CFLA-1|2003-07-01|2003-07-21|$500.00|REDUCED|$0.00|2003-08-18||Johnson|Rod|$0.00
1525|Kent Schroeder|CFLA-1|2003-07-01|2003-07-24|$575.00|REDUCED|$0.00|2003-08-05||Schroeder|Kent|$0.00
1526|Vickie McDonald|CFLA-1|2003-07-31|2003-01-02|$750.00|REDUCED|$0.00|2003-08-18||McDonald|Vickie|$0.00
1527|Dodge County Republican Party|00 Annual Campaign Statement|2001-01-31|2003-01-15|$750.00|REDUCED|$0.00|2003-10-07||||$0.00
1528|Dodge County Republican Party|01 Annual Campaign Statement|2002-01-31|2003-01-15|$750.00|RED/PAID|$25.00|2003-10-07|2003-10-07|||$0.00
1529|Vote on Total Enhancement (V.O.T.E.)|Statement of Organization|2003-10-14|2003-10-16|$200.00|REDUCED|$0.00|2003-11-03||||$0.00
1532|Raines for Airport Authority|00 Annual Campaign Statement|2001-01-31|2001-07-05|$750.00|PAID|||2004-02-05|Raines|Edward|$0.00
1533|Raines for Airport Authority|02 Annual Campaign Statement|2003-01-31|2003-10-27|$750.00|PAID|||2004-02-05|Raines|Edward|$0.00
1534|Mike Boyle for County Board|2003 Annual Campaign Statement|2004-02-02|2004-02-09|$175.00|PAID|||2004-03-02|Boyle|Mike|$0.00
1535|Dawson County Republican Party|2002 Annual Campaign Statement|2003-01-31|2003-11-17|$750.00|RED/PAID|$25.00|2004-02-18|2004-02-18|||$0.00
1536|Meyer for Legislature|2002 Annual Campaign Statement|2003-01-31|2003-12-10|$750.00|REDUCED|$0.00|2004-01-27||Meyer|Charles|$0.00
1537|Metro Omaha Builders Association PAC|2003 Annual Campaign Statement|2004-02-02|2004-02-05|$75.00|PAID|$0.00||2004-03-04|||$0.00
1538|Lancaster County Republican Party|2003 Post General Campaign Statement|2003-06-16|2003-11-13|$750.00|REDUCED|$0.00|2004-02-23||||$0.00
1539|Lancaster County Republican Party|Report of Late Contribution|2003-05-03|2003-11-13|$3000.00|REDUCED|$0.00|2004-02-23||||$0.00
1540|NE Taxpayers Association|August Campaign Statement|2003-09-02|2003-12-30|$750.00|PAID|$0.00||2004-04-16|||$1.85
1541|NE Taxpayers Association|October Campaign Statement|2003-10-31|2003-12-30|$750.00|REDUCED|$0.00|2004-03-05||||$0.00
1542|NE Taxpayers Association|November Campaign Statement|2003-12-01|2003-12-30|$725.00|REDUCED|$0.00|2004-03-05||||$0.00
1543|Schimek for Legislature|03 Annual Campaign Statement|2004-02-02|2004-02-03|$25.00|PAID|$0.00||2004-03-10|Schimek|DiAnna|$0.00
1544|Steamfitters and Plumbers LU 464 PAC Fund|03 Post General Campaign Statement|2003-06-16|2004-02-11|$750.00|PAID|||2004-03-22|||$0.00
1545|Warren Arganbright|CFLA-1|2004-02-09|2004-02-13|$100.00|PAID|||2004-07-16|Arganbright|Warren|$1.85
1546|Tom Baker for District 66 School Board|03 Annual Campaign Statement|2004-02-02|2004-03-12|$750.00|REDUCED|$0.00|2004-04-26||Baker|Tom|
1548|Coleman for Council|02 Annual Campaign Statement|2003-01-31|2004-02-04|$750.00|REDUCED|0.00|2005-10-19||Coleman|Donald|
1549|Coleman for Council|03 Annual Campaign Statement|2004-02-02|2004-02-04|$50.00|REDUCED|0.00|2005-10-19||Coleman|Donald|
1551|Lormong Lo Committee|03 Annual Campaign Statement|2004-02-02|2004-02-13|$275.00|PAID|||2006-01-20|Lo|Lormong|
1553|Martinez for School Board|03 Annual Campaign Statement|2004-02-02|2004-03-26|$750.00|RED/PAID|$25.00|2004-04-14|2004-04-07|Martinez|Mark|$0.00
1554|Carol McBride Pirsch for Douglas County Board|03 Annual Campaign Statement|2004-02-02|2004-02-06|$100.00|REDUCED|$0.00|2004-04-20||McBride Pirsch|Carol|$0.00
1555|Nancy O'Brien for Regent|03 Annual Campaign Statement|2004-02-02|2004-02-12|$250.00|PAID|||2004-06-25|O'Brien|Nancy|$2.80
1556|People for Pendrell|03 Annual Campaign Statement|2004-02-02|2004-02-04|$50.00|PAID|||2004-05-04|Pendrell|Tim|$0.00
1557|Committee to Elect Thomas Riley|03 Annual Campaign Statement|2004-02-02|2004-02-10|$200.00|REDUCED|$0.00|2004-05-05||Riley|Thomas|$0.00
1558|Sarpy Citizens for Tim Schram|03 Annual Campaign Statement|2004-02-02|2004-03-17|$750.00|PAID|||2004-04-07|Schram|Tim|$0.00
1559|Scotts Bluff County Republican Central Committee|03 Annual Campaign Statement|2004-02-02|2004-03-03|$750.00|REDUCED|$0.00|2004-03-19||||$0.00
1560|Kathy Wilmot for State Board of Education|03 Annual Campaign Statement|2004-02-02|2004-03-05|$750.00|REDUCED|$0.00|2004-03-26||Wilmot|Kathy|$0.00
1561|Blazek for OPPD|Statement of Organization|2004-04-08|2004-04-12|$100.00|REDUCED|$0.00|2004-04-26||Blazek|John|$0.00
1562|Urwiller for Public Service Commission|02 Annual Campaign Statement|2003-01-31|2004-01-29|$750.00|RED/PAID|$225.00|2004-08-23|2004-08-04|Urwiller|Dan|$0.00
1563|Weber for OPPD|03 Annual Campaign Statement|2004-02-02|2004-02-10|$200.00|RED/PAID|$25.00|2004-04-14|2004-04-13|Weber|Del|$0.00
1564|Clark Anderson for Regent|2004 1st Primary Campaign Statement|2004-04-12|2004-04-13|$25.00|REDUCED|$0.00|2004-04-19||Anderson|Clark|$0.00
1565|Citizens for Fire Safety|03 Annual Campaign Statement|2004-02-02|2004-03-12|$750.00|REDUCED|$0.00|2004-04-20||||$0.00
1566|Gwen Howard|CFLA-1|2004-03-19|2004-03-24|$125.00|REDUCED|$0.00|2004-04-20||Howard|Gwen|$0.00
1567|Committee to Elect Allen Curtis Johnson County Commissioner|Statement of Organization|2004-04-19|2004-04-21|$50.00|REDUCED|$0.00|2005-08-12|0001-01-01|Johnson|Allen Curtis|
1569|Weber for OPPD|03 Annual Campaign Statement|2004-02-02|2004-02-10|$200.00|RED/PAID|$25.00|2004-04-14|2004-04-13|Weber|Del|$0.00
1570|Ron Withem for Legislature|03 Annual Campaign Statement|2004-02-02|2004-02-09|$175.00|REDUCED|$0.00|2004-04-19||Withem|Ron|$0.00
1571|Zieger for Legislature Committee|04 1st Primary Campaign Statement|2004-04-12|2004-04-16|$100.00|REDUCED|$0.00|2004-04-20||Zieger|Ron|$0.00
1572|Abbie Cornett|CFLA-1|2004-03-15|2004-04-22|$750.00|REDUCED|$0.00|2004-07-21||Cornett|Abbie|$0.00
1573|Diane Battiato for Register of Deeds|04 1st Primary Campaign Statement|2004-04-12|2004-04-14|$50.00|PAID|||2004-08-20|Battiato|Diane|$0.44
1574|Blazek for OPPD|04 1st Primary Campaign Statement|2004-04-12|2004-04-16|$100.00|PAID|||2004-08-25|Blazek|John|$0.00
1575|Scott Knudsen for State Legislature|04 1st Primary Campaign Statement|2004-04-12|2004-04-16|$100.00|PAID|$0.00||2004-05-06|Knudsen|Scott|$0.00
1576|Citizens for Koneck|03 Annual Campaign Statement|2004-01-31|2004-04-22|$750.00|REDUCED|$0.00|2004-05-11||Koneck|Paul|$0.00
1577|Lincoln Independent Business Association PAC|04 2nd Primary Campaign Statement|2004-05-03|2004-05-07|$100.00|REDUCED|$0.00|2004-05-11||||$0.00
1693|Committee to Elect Ed May|04 Post Primary Campaign Statement|2004-06-21|2004-07-09|$450.00|REDUCED|$0.00|2004-07-21||May|Ed|$0.00
1694|NE Restaurant Association PAC|04 Post Primary Campaign Statement|2004-06-21|2004-07-06|$375.00|REDUCED|$0.00|2004-08-17||||$0.00
1695|Takechi for Register of Deeds|04 Post Primary Campaign Statement|2004-06-21|2004-06-28|$175.00|PAID|||2004-08-20|Takechi|Richard|$0.00
1696|Takechi for Register of Deeds|Report of Late Contribution|2004-05-09|2004-06-28|$3000.00|REDUCED|$0.00|2004-08-17||Takechi|Richard|$0.00
1697|Committee to Re-Elect Tom Garvey|Statement of Organization|2004-07-20|2004-07-29|$225.00|REDUCED|$0.00|2005-02-15||Garvey|Tom|$0.00
1698|Committee to Elect Allen Curtis Johnson|Report of Late Contribution|2004-05-07|2004-07-27|$3000.00|REDUCED|0.00|2005-08-12|0001-01-01|Johnson|Allen Curtis|
1699|Committee to Elect Allen Curtis Johnson|04 Post Primary Campaign Statement|2004-06-21|2004-07-27|$750.00|PAID|||2005-08-12|Johnson|Allen Curtis|
1700|Schroeder for Board of Regents|04 Post Primary Campaign Statement|2004-06-21|2004-07-16|$625.00|REDUCED|$0.00|2004-08-20||Schroeder|Kent|$0.00
1701|Boone County Health Center|Report of Earmarked Contribution|2003-11-06|2004-07-01|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1702|Columbus Medical Center|Report of Earmarked Contribution|2004-02-01|2004-07-07|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1704|G.W. Barth, PC|Report of Earmarked Contribution|2003-10-27|2004-06-25|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1705|Gynecology and Fertility, PC|Report of Earmarked Contribution|2004-04-12|2004-06-23|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1706|Horizons Medical Group, PC|Report of Earmarked Contribution|2003-10-26|2004-07-26|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1707|Interntal Medicine Associates|Report of Earmarked Contribution|2004-01-26|2004-06-23|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1708|Kearney Clinic, PC|Report of Earmarked Contribution|2004-01-25|2004-07-16|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1709|Kleager & Donaldson ENT Associates|Report of Earmarked Contribution|2003-11-06|2004-06-24|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1710|Kleager Donaldson ENT Associates|Report of Earmarked Contribution|2003-11-06|2004-06-24|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1711|Lincoln Psychiatric Group|Report of Earmarked Contribution|2004-07-23|2004-07-30|$175.00|REDUCED|$0.00|2004-08-11||||$0.00
1712|Rich Lombardi|Report of Earmarked Contribution|2004-05-24|2004-07-21|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1713|Midwest Neurosurgery, PC|Report of Earmarked Contribution|2004-07-19|2004-07-27|$200.00|REDUCED|$0.00|2004-08-18||||$0.00
1714|NE Hematology-Oncology, PC|Report of Earmarked Contribution|2004-03-11|2004-07-08|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1715|NE Spine Center|Report of Earmarked Contribution|2003-12-05|2004-06-23|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1716|NE Urology Center, PC|Report of Earmarked Contribution|2003-11-30|2004-07-28|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1717|Omaha Children's Clinic, PC|Report of Earmarked Contribution|2004-02-28|2004-06-21|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1718|Omaha Ob Gyn Associates, PC|Report of Earmarked Contribution|2003-12-08|2004-06-21|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1719|Omaha Ob Gyn Associates, PC|Report of Earmarked Contribution|2003-12-08|2004-06-24|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1720|Panhandle Anesthesia Association, PC|Report of Earmarked Contribution|2003-11-24|2004-07-12|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1721|Papillion Family Medical, PC|Report of Earmarked Contribution|2003-12-04|2004-07-27|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1722|Plastic Surgical Center, PC|Report of Earmarked Contribution|2004-07-09|2004-07-30|$275.00|REDUCED|$0.00|2004-10-19||||$0.00
1723|Sandhills Oncology, PC|Report of Earmarked Contribution|2003-12-08|2004-07-19|$750.00|REDUCED|$0.00|2004-08-11||||$0.00
1724|Sutton Skin & Eye Clinic|Report of Earmarked Contribution|2004-07-10|2004-08-06|$675.00|REDUCED|$0.00|2004-08-17||||$0.00
1725|Family Ear, Nose and Throat Clinic, PC|Report of Earmarked Contribution|2004-08-06|2004-08-16|$250.00|REDUCED|$0.00|2004-08-31||||$0.00
1726|Hastings Orthopedaetic & Sports Medicine Specialists, PC|Report of Earmarked Contribution|2004-08-12|2004-08-18|$150.00|REDUCED|$0.00|2004-10-19||||$0.00
1727|NE Urology Center, PC|Report of Earmarked Contribution|2003-12-01|2004-08-10|$750.00|REDUCED|$0.00|2004-08-23||||$0.00
1728|Oncology Hematology West PC|Report of Earmarked Contribution|2004-07-23|2004-08-17|$625.00|REDUCED|$0.00|2004-09-21||||$0.00
1729|Oncology Hematology West PC|Report of Earmarked Contribution|2004-07-23|2004-08-17|$625.00|REDUCED|$0.00|2004-09-21||||$0.00
1730|Oncology Hematology West PC|Report of Earmarked Contribution|2004-07-23|2004-08-17|$625.00|REDUCED|$0.00|2004-09-21||||$0.00
1731|Oncology Hematology West PC|Report of Earmarked Contribution|2004-07-23|2004-08-17|$625.00|REDUCED|$0.00|2004-09-21||||$0.00
1732|Oncology Hematology West PC|Report of Earmarked Contribution|2004-07-23|2004-08-17|$625.00|REDUCED|$0.00|2004-09-21||||$0.00
1733|Oncology Hematology West PC|Report of Earmarked Contribution|2004-07-23|2004-08-17|$625.00|REDUCED|$0.00|2004-09-21||||$0.00
1734|North Lincoln Family Medical Center|Report of Earmarked Contribution|2004-07-26|2004-07-30|$100.00|REDUCED|$0.00|2004-09-09||||$0.00
1735|Radiologic Center, Inc.|Report of Earmarked Contribution|2004-01-15|2004-08-23|$750.00|REDUCED|$0.00|2004-09-09||||$0.00
1736|Ray Aguilar for Legislature|04 Post Primary Campaign Statement|2004-06-21|2004-06-24|$75.00|PAID|||2004-09-27|Aguilar|Ray|$0.00
1737|Internal Medicine Associates|Report of Earmarked Contribution|2004-08-23|2004-08-26|$75.00|REDUCED|$0.00|2004-09-22||||$0.00
1738|Lincoln Chamber of Commerce|Report of Earmarked Contribution|2004-09-07|2004-09-09|$50.00|REDUCED|$0.00|2004-10-07||||$0.00
1739|Lincoln Chamber of Commerce|Report of Earmarked Contribution|2004-09-07|2004-09-09|$50.00|REDUCED|$0.00|2004-10-07||||$0.00
1740|Lincoln Chamber of Commerce|Report of Earmarked Contribution|2004-09-07|2004-09-09|$50.00|REDUCED|$0.00|2004-10-07||||$0.00
1741|Lincoln Chamber of Commerce|Report of Earmarked Contribution|2004-09-07|2004-09-09|$50.00|REDUCED|$0.00|2004-10-07||||$0.00
1742|NE Urology Center, PC|Report of Earmarked Contribution|2003-11-30|2004-09-14|$750.00|REDUCED|$0.00|2004-09-23||||$0.00
1743|OrthoWest|Report of Earmarked Contribution|2004-08-23|2004-08-31|$200.00|REDUCED|$0.00|2004-09-21||||$0.00
1745|Nebraskans United for Life|04 Post Primary Campaign Statement|2004-06-21|2004-09-16|$750.00|REDUCED|$0.00|2004-09-28||||$0.00
1746|OrthoWest|Report of Earmarked Contribution|2004-08-26|2004-09-13|$450.00|REDUCED|$0.00|2004-09-28||||$0.00
1747|Pain Management Consultants, PC|Report of Earmarked Contribution|2004-08-30|2004-09-14|$375.00|REDUCED|$0.00|2004-09-23||||$0.00
1748|Kim Peterson for State Board of Education|04 1st General Campaign Statement|2004-10-04|2004-10-06|$50.00|PAID|||2005-10-12|Peterson|Kim|
1880|Citizens for Gernandt|Report of Late Contribution|2005-03-28|2005-05-02|3000.00|REDUCED|0.00|2005-08-01||Gernandt|Gary|
1860|Citizens for Millard Public Schools|Report of Late Contribution|2005-02-10|2005-03-29|3000.00|REDUCED|0.00|2005-04-25||||
1873|Joel Johnson for Legislature|04 Post General Election Campaign Statement|2005-01-11|2005-02-01|525.00|PAID|||2005-08-05|Johnson|Joel|
1875|Kruse for Legislature|04 Post General Election Campaign Statement|2005-01-11|2005-01-18|175.00|PAID|||2005-05-13|Kruse|Lowen|
1881|Citizens for Gernandt|Report of Late Contribution|2005-04-04|2005-05-02|2800.00|REDUCED|0.00|2005-08-01||Gernandt|Gary|
1882|Citizens for Gernandt|Report of Late Contribution|2005-03-31|2005-05-02|3000.00|REDUCED|0.00|2005-08-01||Gernandt|Gary|
1883|Citizens for Gernandt|Report of Late Contribution|2005-03-31|2005-05-02|3000.00|REDUCED|0.00|2005-08-01||Gernandt|Gary|
1884|Citizens for Gernandt|Report of Late Contribution|2005-04-04|2005-05-02|2800.00|REDUCED|0.00|2005-08-01||Gernandt|Gary|
1885|Citizens for Gernandt|Report of Late Contribution|2005-03-28|2005-05-02|3000.00|REDUCED|0.00|2005-08-01||Gernandt|Gary|
1886|Carol Hudkins Legislative Committee|04 Post General Election Campaign Statement|2005-01-11|2005-01-12|25.00|REDUCED|0.00|||Hudkins|Carol|
1914|Prettyman for School Board|05 Post General Campaign Statement|2005-06-13|2005-06-14|25.00|PAID|||2005-07-06|||
1889|Metro Omaha Builders Association PAC|Report of Late Contribution|2005-04-28|2005-05-03|500.00|PAID|||2005-07-19|||
1892|Contemporary Obstetrics & Gynecology, PC|Report of Earmarked Contribution|2005-05-20|2005-05-26|150.00|PAID|||2005-11-08|||
1893|Virgil Froehlich for NPPD Board|Report of Late Contribution|2004-10-25|2005-01-04|3000.00|REDUCED|0.00|2005-07-11||||
1898|Committee to Elect John Murante|04 Post General Campaign Statement|2005-01-11|2005-01-20|225.00|PAID|||2005-10-14|||
1899|NE Republican Party|Report of Late Contribution|2005-03-31|2005-04-26|2600.00|REDUCED|0.00|2005-08-10|2005-08-10|||
1900|NE Republican Party|Report of Late Contribution|2005-04-01|2005-04-26|2500.00|REDUCED|0.00|2005-08-10|2005-08-10|||
1901|NE Republican Party|Report of Late Contribution|2005-04-04|2005-04-26|2200.00|REDUCED|0.00|2005-08-10|2005-08-10|||
1902|NE Republican Party|Report of Late Contribution|2005-03-24|2005-04-26|3000.00|REDUCED|0.00|2005-08-10|2005-08-10|||
1903|NE Republican Party|Report of Late Contribution|2005-04-06|2005-04-26|2000.00|RED/PAID|25.00|2005-08-10|2005-08-10|||
1904|Prettyman for School Board|05 2nd General Campaign Statement|2005-04-25|2005-04-28|75.00|REDUCED|0.00|2005-06-21||Prettyman|Keith|
1905|Prettyman for School Board|Pre-Election Exemption Statement|2005-03-07|2005-04-28|750.00|REDUCED|0.00|2005-06-21||Prettyman|Keith|
1907|Citizens for Shoecraft|04 Annual Campaign Statement|2005-01-31|2005-04-11|750.00|REDUCED|0.00|2005-06-16||Shoecraft|Jerry|
1908|Committee to Elect Jim Suttle|05 2nd General Campaign Statement|2005-05-02|2005-05-04|50.00|PAID|||2005-06-17|Suttle|Jim|
1909|Williams Family Medicine, PC|Report of Earmarked Contribution|2005-04-28|2005-05-23|625.00|REDUCED|0.00|2005-06-07||||
1920|Lancaster County Democrats|05 2nd Primary Campaign Statement|2005-03-28|2005-06-20|750.00|REDUCED|0.00|2005-07-01||||
1921|Lancaster County Democrats|05 2nd General Election Campaign Statement|2005-04-25|2005-06-20|750.00|PAID|||2005-10-12|||
1958|Committee to Put Kids First|Report of Late Contribution|2005-09-07|2005-10-24|3000.00|REDUCED|0.00|2008-01-17||||
1927|Lancaster County Republican Party|05 2nd General Election Campaign Statement|2005-04-25|2005-04-27|50.00|PAID|||2005-07-05|||
1928|Nebraska PAC|05 Post General Campaign Statement|2005-06-20|2005-06-22|50.00|REDUCED|0.00|2005-08-30||||
1929|NE Republican Party|Report of Late Contribution|2005-05-02|2005-06-14|3000.00|PAID|||2005-09-13|||
1931|Steamfitters & Plumbers LU 464 PAC Fund|05 Post General Campaign Statement|2005-06-20|2005-06-30|250.00|PAID|||2005-07-15|||
1949|Heart, Lung & Vascular Surgery, PC|Report of Earmarked Contribution|2003-12-05|2005-06-24|750.00|REDUCED|0.00|2005-09-22||||
1933|Shawn Traudt for City Council|05 Post General Campaign Statement|2005-06-13|2005-06-16|75.00|PAID|||2005-09-09|Traudt|Shawn|
1934|Greg Adams|CFLA-1|2005-06-13|2005-07-07|600.00|REDUCED|0.00|2005-07-18||||
1942|Anne Boyle for City Council|Report of Late Contribution|2005-05-09|2005-06-21|3000.00|REDUCED||2005-08-05||Boyle|Anne|
1943|Anne Boyle for City Council|Report of Late Contribution|2005-05-09|2005-06-21|3000.00|RED/PAID|25.00|2005-08-05|2005-08-05|Boyle|Anne|
1944|Alternative Builidng Construction Site|Statement of Organization|2005-07-25|2005-07-29|100.00|REDUCED|0.00|2005-09-15|2005-09-15|||
1950|Lancaster County Democrats|05 Post General Campaign Statement|2005-06-13|2005-06-20|175.00|PAID|||2005-10-12|||
1946|Hematology & Oncology Consultants, PC|Report of Earmarked Contribution|2005-07-21|2005-07-25|100.00|PAID|||2005-09-02|||
1947|NE Pulmonary Critical Care|Report of Earmarked Contribution|2005-07-25|2005-07-27|50.00|REDUCED|0.00|2005-09-08||||
1959|Committee to Put Kids First|Report of Late Contribution|2005-09-14|2005-10-24|3000.00|REDUCED|0.00|2008-01-17||||
1962|Nebraskans for Local Schools|October Monthly Campaign Statement|2005-11-01|2005-12-02|750.00|PAID|||2006-01-23|||
1972|Trucker's PAC|05 1st Primary Campaign Statement|2005-03-07|2006-01-31|750.00|REDUCED|0.00|2006-03-20||||
1995|Business & Agriculture for Education|06 2nd Primary Campaign Statement|2006-05-01|2006-05-03|50.00|PAID|||2006-05-26|||
1996|Jan Davis for Sarpy County Commissioner|Statement of Organization|2006-04-26|2006-05-02|150.00|REDUCED|0.00|2006-05-30||||
1994|Alternative Building Construction Site|06 Post Election Campaign Statement|2006-03-24|2006-04-11|375.00|RED/PAID|25.00|2006-06-08|2006-06-08|||
1980|Green for OPPD Committee|05 Annual Campaign Statement|2006-01-31|2006-02-03|75.00|REDUCED|0.00|2006-03-28||Green|John|
1985|Southwest Nebraska Economic Security Committee|05 Annual Campaign Statement|2006-01-31|2006-03-01|725.00|REDUCED|0.00|2006-03-15||||
1997||CFLA-1|2006-02-13|2006-05-01|750.00|REDUCED|0.00|2006-05-10||Dierks|Merton|
1998|Dierks for Legislature|Statement of Organization|2006-02-13|2006-05-01|750.00|REDUCED|0.00|2006-05-10||||
1999|Frazier for Legislature|CFLA-4|2006-03-17|2006-03-30|325.00|REDUCED|0.00|2006-04-27||Frazier|Todd|
2000|Gustafson for Gage County Sheriff|Statement of Organization|2006-04-19|2006-04-25|150.00|REDUCED|0.00|2006-04-27||Gustafson|Millard|
2001|Joe Higgins for State Board of Education|2nd Primary Election Campaign Statement|2006-04-10|2006-04-26|400.00|REDUCED|0.00|2006-05-02||Higgins|Joe|
2002||CFLA-1|2006-03-24|2006-04-07|350.00|REDUCED|0.00|2006-04-27||McGill|Amanda|
2003||CFLA-1|2006-04-24|2006-05-02|200.00|REDUCED|0.00|2006-05-15||Pierce|Dick|
2004|Gale for Secretary of State|06 2nd Primary Campaign Statement|2006-05-01|2006-05-02|25.00|PAID|||2006-05-25|Gale|John|
2005|NE Association of Nurse Anesthetists PAC|06 1st Primary Campaign Statement|2006-04-10|2006-04-25|375.00|PAID|||2006-05-08|||
2006|Kent Rogert for Legislature|Report of Late Contribution|2006-05-03|2006-05-17|1400.00|REDUCED|0.00|2006-05-19||Rogert|Kent|
2007|Trucker's PAC|06 1st Primary Campaign Statement|2006-04-10|2006-05-01|525.00|PAID|||2006-05-30|||
2008|Jerry Brown for Sheriff|Report of Late Contribution|2006-05-05|2006-05-09|400.00|REDUCED|0.00|2006-05-24||Brown|Jerry|
2009|Scoular Company Fund for Effective Government|06 1st Primary Campaign Statement|2006-04-10|2006-05-08|700.00|REDUCED|0.00|2006-05-24||||
1863|Annette McRoy for City Council|04 Annual Campaign Statement|2005-01-31|2005-04-01|750.00|RED/PAID|25.00|2005-09-12|2005-09-12|McRoy|Annette|
1866|Steamfitters & Plumbers LU 464 PAC Fund|05 1st Primary Campaign Statement|2005-03-07|2005-04-08|750.00|PAID|||2005-05-02|||
1867|Steamfitters & Plumbers LU 464 PAC Fund|05 2nd Primary Campaign Statement|2005-03-28|2005-04-08|275.00|PAID|||2005-05-02|||
1868|Nancy Waite for City Council|04 Annual Campaign Statement|2005-01-31|2005-04-04|750.00|REDUCED|0.00|2005-05-06||Waite|Nancy|
1910|Mike Cavanaugh for City Council|Report of Late Contribution|2005-05-09|2005-05-10|297.09|REDUCED|0.00|2005-07-11||Cavanaugh|Mike|
1923|Tim Lonergan for City Council|05 Post General Election Campaign Statement|2005-06-20|2005-06-22|50.00|PAID|||2005-07-13|Lonergan|Tim|
1954||CFLA-1|2005-11-14|2005-11-30|400.00|REDUCED|0.00|2005-12-08||Ruff|Ronald|
1964|Community for Kids Committee|Report of Late Contribution|2006-02-03|2006-02-07|400.00|REDUCED|0.00|2006-02-22||||
1930|NE Republican Party|Report of Late Contribution |2005-05-02|2005-06-14|3000.00|PAID|||2006-01-13|||
1955|Creighton University|Report of Earmarked Contribution|2005-10-24|2005-11-22|725.00|REDUCED|0.00|2008-05-22||||
1965|Community for Kids Committee|Report of Late Contribution|2006-02-03|2006-02-07|400.00|REDUCED|0.00|2006-02-22||||
1966|Community for Kids Committee|Report of Late Contribution|2006-02-03|2006-02-07|400.00|PAID|||2006-03-01|||
1967|Community for Kids Committee|Report of Late Contribution|2006-02-03|2006-02-07|400.00|REDUCED|0.00|2006-02-22||||
1969|Faith Regional Physician Service, LLC|Report of Earmarked Contribution|2005-11-28|2005-12-02|100.00|REDUCED|0.00|2006-02-21||||
1970|Sarpy Citizens for Tim Schram|05 Annual Campaign Statement|2006-01-31|2006-02-02|25.00|PAID|||2006-04-18|Schram|Tim|
1971|Sscottsbluff Urology Associates, PC|Report of Earmarked Contribution|2005-11-28|2005-12-08|250.00|REDUCED|0.00|2006-01-23||||
1974|Trucker's PAC|05 Post Primary Campaign Statement|2005-05-16|2006-01-31|750.00|RED/PAID|25.00|2006-03-20|2006-03-20|||
2010|Scoular Company Fund for Effective Government|06 2nd Primary Election Campaign Statement|2006-05-01|2006-05-08|175.00|REDUCED|0.00|2006-05-24||||
2011|Committee to Re-elect Tom Garvey|Annual Statement|2006-01-31|2006-05-18|750.00|REDUCED|0.00|2007-06-20||Garvey|Tom|
2012|Rich Hurley for PSC|2nd Primary B-1|2006-05-01|2006-05-04|75.00|PAID|||2006-06-20|Hurley|Rich|
2013|Hutchings for County Board|2nd Primary B-1|2006-05-01|2006-05-30|725.00|REDUCED|0.00|||Hutchings|Kyle|
2014|Kowal for Douglas County Assessor|2nd Primary B-1|2006-05-01|2006-05-03|50.00|REDUCED|0.00|2006-06-27||Kowal|Dena |
2015|Nebraskans United for Life PAC|2005 Annual B-4|2006-01-31|2006-05-19|750.00|RED/PAID|25.00|2006-06-30|2006-06-30|||
2016|Wagner for Sheriff|2nd Primary B-1|2006-05-01|2006-05-03|50.00|PAID|||2006-06-20|Wagner|Terry|
2017|Northwestern Public Service Employees PAC NE|05 Annual|2006-01-31|2006-05-16|750.00|REDUCED|0.00|||||
2018|Dick Pierce for Legislature|CFLA-1|2006-04-24|2006-05-02|200.00|REDUCED|0.00|2006-05-15||Pierce|Dick|
2019|Pam Brown for Legislature|05 annual campaign statement|2006-01-31|2006-06-16|23.63|REDUCED|||2009-07-13|brown|pam|
2020|nebraskans for local community development and tribal self-reliance|Campaign statement, 7290024|2006-05-01|2006-05-05|100.00|PAID|||2006-06-22|||
2021|Lincoln Chamber of Commerce|post primary b-4|2006-06-19|2006-06-21|50.00|REDUCED|0.00|2006-07-11||||
