ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
2663|Dinkel Implement Co.|June|2005-07-10|2006-02-05|750.00|REDUCED|0.00|2006-02-06||
2664|Goree Backhoe & Excavating, Inc.|November|2005-12-12|2006-02-17|750.00|REDUCED|0.00|2006-03-03||
2665|Hoich Enterprises, Inc.|September|2005-10-10|2006-02-13|750.00|REDUCED|0.00|2006-03-03||
2666|Hoppe, Inc.|July|2005-08-10|2006-01-30|750.00|RED/PAID|25.00|2006-03-13|2006-03-07|
2667|Kirkham, Michael & Associates, Inc.|January|2005-02-10|2006-01-27|750.00|REDUCED|0.00|2006-03-03||
2668|Kraft Foods Global, Inc.|August|2005-09-12|2006-02-17|750.00|REDUCED|0.00|2006-03-03||
2669|Roloff Construction Co. (aka L.G.Roloff)|January|2005-10-10|2006-02-01|750.00|REDUCED|0.00|2006-03-03||
2670|Leading Edge Printing|December|2006-01-10|2006-02-01|550.00|REDUCED|0.00|2006-03-03||
2673|Magnum Resources, Inc.|November|2005-12-12|2006-02-02|750.00|REDUCED|0.00|2006-03-03||
2675|Omaha Emergency Physicians, PC|December|2006-01-10|2006-02-01|550.00|REDUCED|0.00|2006-03-10||
2676|Stanton Telecom, Inc.|December|2006-01-10|2006-02-17|750.00|REDUCED|0.00|2006-03-03||
2677|Telec Consulting Resources, Inc.|April|2005-05-10|2006-02-17|750.00|REDUCED|0.00|2006-03-03||
2678|Thiele Geotech, Inc.|September|2005-10-10|2006-01-30|750.00|REDUCED|0.00|2006-03-03||
2704|Lyman-Richey Corporation|August|2005-09-12|2005-09-14|50.00|REDUCED|0.00|2006-03-30||
2705|Lundeen's Inc.|October|2005-11-10|2006-03-16|750.00|REDUCED|0.00|2006-03-29||
2727|Georgia-Pacific Corp.|February|2006-03-10|2006-03-30|500.00|REDUCED|0.00|2006-05-15||
2757|United Services Automobile Association|June|2005-07-11|2006-04-13|750.00|REDUCED|0.00|2006-05-16||
2758|Alliance Group, Inc. The|July|2005-08-10|2006-03-30|750.00|RED/PAID|25.00|2006-06-14|2006-06-08|
2759|Assurity Life Insurance Co.|January|2006-02-10|2006-04-12|750.00|REDUCED|0.00|2006-05-25||
2760|Ayars & Ayars, Inc.|December|2006-01-10|2006-04-03|750.00|REDUCED|0.00|2006-05-25||
2761|Barr Laboratories, Inc.|September|2005-10-11|2006-04-07|750.00|REDUCED|0.00|2006-05-25||
2762|Behlen Manufacturing Co.|September|2005-10-11|2006-04-03|750.00|REDUCED|0.00|2006-05-25||
2763|Brester Construction, Inc.|January|2006-02-10|2006-03-20|750.00|REDUCED|0.00|2006-05-25||
2764|Children's Hospital|January|2006-02-10|2006-03-24|750.00|REDUCED|0.00|2006-05-25||
2765|D.C. Electric, Inc.|December|2006-01-10|2006-03-27|750.00|REDUCED|0.00|2006-05-24||
2766|Dinkel Implement Company|August|2005-10-11|2006-03-31|750.00|REDUCED|0.00|2006-06-01||
2767|Dinkel Implement Company|February|2006-03-10|2006-03-31|525.00|RED/PAID|25.00|2006-06-01|2006-05-31|
2768|DuTeau Chevrolet Company|January|2006-02-10|2006-03-24|750.00|REDUCED|0.00|2006-05-25||
2769|Emspace, Inc.|February|2006-03-10|2006-03-31|525.00|REDUCED|0.00|2006-05-25||
2770|Hill-Farrell Associates, Inc.|December|2006-01-10|2006-03-29|750.00|REDUCED|0.00|2006-05-25||
2771|Inspro, Inc.|January|2006-02-10|2006-03-27|750.00|REDUCED|0.00|2006-05-25||
2772|Krieger Family Foundation|January|2006-02-10|2006-04-27|750.00|REDUCED|0.00|2006-05-25||
2773|Landmark Management Group|March|2005-04-11|2006-04-07|750.00|REDUCED|0.00|2006-05-25||
2774|Lincoln Chapter of the AIA|January|2006-02-10|2006-03-31|750.00|REDUCED|0.00|2006-05-25||
2775|Martin Marietta Materials|November|2005-12-10|2006-03-23|750.00|REDUCED|0.00|2006-05-25||
2776|Molex, Inc.|January|2006-02-10|2006-03-23|750.00|REDUCED|0.00|2006-05-25||
2777|Omaha Truck Center|December|2006-01-10|2006-04-03|750.00|REDUCED|0.00|2006-05-25||
2778|Security Financial Life Insurance Co.|January|2006-02-10|2006-03-20|750.00|REDUCED|0.00|2006-05-25||
2779|Smith Systems Transportation, Inc.|March|2006-04-10|2006-05-03|575.00|REDUCED|0.00|2006-05-25||
2780|Smithfield Foods, Inc|September|2005-10-11|2006-04-03|750.00|REDUCED|0.00|2006-05-25||
2781|Greater Lincoln Chamber Foundation|January|2006-02-10|2006-03-29|750.00|PAID|||2006-07-11|
2782|Sibbersen & Strigenz, PC|January|2005-11-10|2006-02-22|750.00|RED/PAID|25.00|2006-06-02|2006-06-02|
2812|omnium worldwide, inc|December|2006-01-10|2006-03-01|750.00|REDUCED|0.00|2006-06-01||
2813|Paycheck Advance|April|2006-05-10|2006-05-23|325.00|REDUCED|0.00|2006-06-07||
2814|PSI Group, Inc|October|2006-11-10|2006-03-31|750.00|REDUCED|0.00|2006-06-02||
2815|Raasch Appraisal|February|2006-03-10|2006-04-20|750.00|REDUCED|0.00|2006-06-01||
2816|Riffel Moving Services, Inc|April|2006-05-10|2006-05-17|175.00|REDUCED|0.00|2006-07-31||
2817|Ringer Roofing & Skylight, Inc|April|2006-05-10|2006-05-23|325.00|REDUCED|0.00|2006-06-07||
2818|Rural Health Development|February|2006-03-10|2006-04-21|750.00|PAID||2006-06-08|2006-06-08|
2819|Sampson Construction Company, Inc|February|2006-03-10|2006-04-11|750.00|PAID||2006-06-07|2006-06-07|
2820|Sandhills Distributing|February|2006-03-10|2006-05-25|750.00|REDUCED|0.00|2006-06-07||
2821|Sinclair Hille Architects|February|2006-03-10|2006-04-18|750.00|REDUCED|0.00|2006-06-01||
2822|TAB Holding Company, Inc|February|2006-03-10|2006-04-04|625.00|REDUCED|0.00|2006-06-27||
2823|Tincher Chevrolet|January|2006-04-10|2006-04-19|225.00|PAID|||2006-08-23|
2824|Frank E Williams, IV, OD, PC|February|2006-03-10|2006-05-03|750.00|REDUCED|0.00|2006-06-01||
2825|Lincoln Plating|February|2006-03-10|2006-04-13|750.00|PAID|||2006-06-14|
2826|McArdle Grading Co|January|2006-01-10|2006-04-05|750.00|RED/PAID|25.00|2006-06-07|2006-06-07|
2827|Acxiom Corporation|October|2005-07-10|2005-09-06|750.00|REDUCED|0.00|2006-06-27||
2828|Peony Park|February|2006-03-10|2006-03-21|270.00|RED/PAID|25.00|2006-07-11|2006-07-11|
2829|NE Printing Center|August|2005-09-12|2006-03-01|750.00|REDUCED|0.00|2006-06-02||
2830|NE Printing Center|September|2005-10-11|2006-03-01|750.00|PAID|||2006-06-13|
2831|NE Printing Center|December|2006-01-10|2006-03-01|750.00|REDUCED|0.00|2006-06-02||
2483|Home Improvement, Inc.|February|2005-03-10|2005-03-31|525.00|RED/PAID|0.00|2005-04-21||
2502|Baas & Associates, PC|January|2005-02-10|2005-04-05|750.00|REDUCED|0.00|2005-05-17||
2507|Greater Omaha Chamber of Commerce|March|2005-04-11|2005-04-25|350.00|REDUCED|0.00|2005-05-12||
2508|Harman Appliance Sales, Inc.|February|2005-03-10|2005-04-13|750.00|REDUCED|0.00|2005-05-12||
2510|Kabredlo's|March|2005-04-11|2005-05-05|600.00|REDUCED|0.00|2005-05-12||
2533|Mercer Management|January|2005-05-10|2005-05-13|75.00|REDUCED|0.00|2005-06-10||
2538|Skoda Construction|January|2005-04-11|2005-05-18|750.00|REDUCED|0.00|2005-06-10||
2539|TCF, Inc. dba Interlude Loung|January|2005-02-10|2005-05-16|750.00|REDUCED|0.00|2005-06-03||
2540|Tiger Tom's, Inc.|February|2005-03-10|2005-05-18|750.00|REDUCED|0.00|2005-06-03||
2547|Teragram, Inc.|March|2005-04-11|2005-05-26|750.00|REDUCED|0.00|2005-06-10||
2551|First Data Corporation|October|2004-11-10|2005-03-22|750.00|PAID|||2005-05-20|
2570|Grubb & Ellis/Pacific Realty|March|2005-04-11|2005-05-18|750.00|REDUCED|0.00|2005-07-18||
2573|The Alliance Group, Inc.|April|2005-05-10|2005-06-21|750.00|REDUCED|0.00|2005-07-05||
2574|Verizon TX|January|2005-06-10|2005-06-21|275.00|REDUCED|0.00|2005-07-05||
2575|Barkel Enterprises, Inc.|April|2005-05-10|2005-06-21|750.00|REDUCED|0.00|2005-07-05||
2576|Engineering, Automation & Design|March|2005-04-11|2005-06-08|750.00|PAID|||2005-07-18|
2590|Cornerstone Energy|April|2005-05-10|2005-07-20|750.00|REDUCED|0.00|2005-08-09||
2614|Caremark Rx, Inc.|August|2005-09-12|2005-09-20|200.00|PAID|||2005-12-02|
2634|Investment Property Resources, LTD|October|2004-11-10|2005-10-28|750.00|REDUCED|0.00|2005-11-08||
2644|Aramark|January|2005-12-12|2005-12-29|425.00|PAID|||2006-10-06|
2645|Cheney School Association|August|2005-09-12|2006-01-13|750.00|REDUCED|0.00|2006-02-14||
2672|Magnum Development Corp.|October|2005-11-10|2006-02-14|750.00|REDUCED|0.00|2006-03-03||
2674|Olsson Associates|October|2005-11-10|2006-01-31|750.00|PAID|||2006-03-08|
2832|dimatic die and tool co|January|2005-07-11|2006-02-27|750.00|PAID|25.00||2006-07-06|
2833|lamp rynearson & associates, inc.|January|2006-05-10|2006-05-15|125.00|REDUCED|0.00|2006-07-14||
2842|Greater Omaha Chamber of Commerce|January|2006-04-10|2006-06-19|750.00|RED/PAID|25.00|2006-10-03|2006-09-29|
2835|Security Financial Life Insurance Co|April|2006-05-10|2006-05-18|200.00|PAID|25.00||2006-07-20|
2836|King Kong 2|March|2006-05-10|2006-05-15|125.00|REDUCED|0.00|2006-07-11||
2837|winfield concrete levelling and construction|January|2006-05-10|2006-05-25|375.00|REDUCED|0.00|2006-08-31||
2838|Val Limited|February|2006-03-10|2006-04-05|650.00|REDUCED|0.00|2006-07-11||
2839|Service Employees International Union|April|2006-05-10|2006-05-18|200.00|PAID|||2006-07-12|
2840|Omaha Police Union Local 101|January|2006-05-10|2006-06-20|750.00|PAID|||2006-06-20|
2841|America At Its Best|January|2006-06-12|2006-06-13|140000.00|REDUCED|0.00|2007-01-26||
2843|IAMAW Local Lodge 612|January|2006-02-12|2006-06-22|750.00|REDUCED|0.00|2006-07-14||
2844|NE Technical Services|April|2006-05-10|2006-06-22|750.00|PAID|||2006-07-20|
2845|Lozier Corporation|December|2006-01-10|2006-06-06|750.00|REDUCED|0.00|2006-07-25||
2846|Hall Law Offices, PC LLO|January|2006-02-12|2006-06-14|750.00|REDUCED|0.00|2006-07-25||
2847|Dobson Brothers Construction Co|February|2006-03-12|2006-06-08|750.00|REDUCED|0.00|2006-07-25||
2848|Metz Mortuary-Henderson|June|2006-07-11|2006-06-06|750.00|REDUCED|0.00|2006-07-25||
2849|Batheja and Associates|November|2006-12-12|2006-07-05|750.00|REDUCED|0.00|2006-07-25||
2850|FBG Service Corporation|July|2005-08-10|2006-07-05|750.00|REDUCED|0.00|2006-07-25||
2851|Holland Basham Architects|October|2005-11-10|2006-07-05|750.00|REDUCED|0.00|2006-07-25||
2852|Nebraska Blueprint Co, Inc|August|2005-09-12|2006-07-05|750.00|REDUCED|0.00|2006-07-25||
2853|Nebraska Credit Union League|February|2006-03-12|2006-06-16|750.00|REDUCED|0.00|2006-07-25||
2854|Envisions, Inc|March|2006-04-10|2006-06-15|750.00|REDUCED|0.00|2006-07-25||
2855|American Check Casher|April|2006-05-10|2006-06-07|750.00|REDUCED|0.00|2006-07-25||
2856|Cargill|January|2006-04-10|2006-05-30|750.00|REDUCED|0.00|2006-07-25||
2857|Advance America |April|2006-05-10|2006-05-31|525.00|Reduced|0.00|2006-07-25||
2858|AFLAC|January|2006-07-10|2006-07-11|25.00|PAID|||2006-08-14|
2859|JEO Consulting Group|January|2005-11-10|2006-07-17|750.00|RED/PAID|25.00|2006-07-31|2006-07-31|
2860|Johnson & Johnson|January|2006-07-10|2006-07-11|25.00|PAID|||2006-10-11|
2861|NE State AFL-CIO|June|2006-07-10|2006-07-13|75.00|PAID|||2006-09-25|
2874|Jensen Specialized Printing, Inc|May|2006-06-12|2006-07-26|750.00|REDUCED|0.00|2006-08-15||
2870|United Retail Liquor Association of NE|June|2006-07-10|2006-07-13|75.00|PAID|||2006-07-31|
2873|Your Selling Team|January|2006-06-12|2006-08-07|750.00|PAID|||2006-10-12|
2875|On Your Marks|May|2006-06-12|2006-08-01|750.00|REDUCED|0.00|2006-08-15||
2876|J. Mailoux Trucking|April|2006-05-10|2006-07-31|750.00|REDUCED|0.00|2006-08-15||
2877|HQ Holding Inc|April|2006-05-10|2006-08-01|750.00|REDUCED|0.00|2006-08-15||
2878|Lincoln Fire Fighter Association|January|2006-03-10|2006-07-28|750.00|REDUCED|0.00|2006-08-15||
2879|BV Leasing|February|2006-03-10|2006-08-16|750.00|REDUCED|0.00|2006-08-30||
2880|Faw's Garage, Inc|January|2005-09-10|2006-03-06|750.00|REDUCED|0.00|2006-09-18||
2881|Faw Motor Company, Inc|January|2006-09-10|2006-03-06|750.00|REDUCED|0.00|2006-09-08||
2882|The Interior Design Firm|April|2006-05-10|2006-08-15|750.00|REDUCED|0.00|2006-08-30||
2883|NE Credit Union League and Affiliates|July|2006-08-10|2006-08-14|100.00|PAID|||2006-09-05|
2884|American National Bank of Fremont|October|2005-11-10|2005-12-01|525.00|REDUCED|0.00|2006-09-05||
2887|BELGRADE COMPANY, INC|May|2006-06-12|2006-09-07|750.00|REDUCED|0.00|2006-09-18||
2888|BENNETT SIGN PRO OF LEXINGTON, INC|March|2006-04-10|2006-08-22|750.00|REDUCED|0.00|2006-09-08||
2892|COMMERCIAL NATIONAL BANK|May|2006-06-12|2006-09-06|750.00|REDUCED|0.00|2006-09-18||
2894|JAMES V. ORTMAN, MD|August|2005-09-12|2006-09-07|750.00|REDUCED|0.00|2006-09-18||
2895|Medico Insurance|January|2006-05-10|2006-09-06|750.00|REDUCED|0.00|2006-09-18||
2896|NE ASSOCIATION OF SCHOOL BOARDS|June|2006-07-10|2006-09-07|750.00|PAID|||2006-09-21|
2897|NE Council Of School Administrators|July|2006-08-10|2006-09-06|675.00|PAID|||2006-09-27|
2899|NE STATE BANK|May|2006-06-12|2006-09-07|750.00|REDUCED|0.00|2006-09-18||
2902|Precision Industries, Inc|July|2006-08-29|2006-05-10|750.00|PAID|||2006-09-15|
2903|ROTELLA'S ITALIAN BAKERY|October|2005-11-10|2006-09-06|750.00|REDUCED|0.00|2006-09-18||
2904|STEENBLOCK ERECTORS, INC|February|2006-03-10|2006-09-08|750.00|REDUCED||2006-09-18||
2905|STEENBLOCK ERECTORS, INC|May|2006-06-12|2006-09-08|750.00|REDUCED|0.00|2006-09-18||
2906|SUMMIT DENTAL ASSOCIATES, PC|May|2006-06-12|2006-09-07|750.00|REDUCED|0.00|2006-09-18||
2908|WEST POINT BANCORP INC|April|2006-05-10|2006-08-29|750.00|REDUCED|0.00|2006-09-08||
2909|SOUTH SARPY DISTRICT #46 EDUCATION ASSN|January|2006-09-11|2006-09-15|100.00|PAID|||2007-07-16|
2910|Magnum Resources, Inc|October|2005-11-10|2006-09-08|750.00|RED/PAID|25.00|2006-09-22|2006-09-22|
2912|S.L. Jensen Construction, Inc|November|2005-12-12|2006-09-12|750.00|REDUCED|0.00|2006-09-22||
2925|AARP of NE|June|2006-07-10|2006-10-06|750.00|PAID|||2006-11-28|
2914|Real T Service|August|2005-09-12|2006-09-12|750.00|REDUCED|0.00|2006-09-22||
2915|Valmont Industries|March|2006-04-10|2006-09-13|750.00|REDUCED|0.00|2006-09-22||
2916|Christine R. Baccari PC|October|2005-11-09|2006-09-11|750.00|REDUCED|0.00|2006-09-22||
2917|Consolidated Equipment|November|2005-12-12|2006-09-21|750.00|REDUCED|0.00|2006-09-26||
2918|Geschwender Relocation|October|2005-11-10|2006-09-22|750.00|REDUCED|0.00|2006-09-29||
2520|Abe's Trash Service, Inc.|January|2005-05-10|2005-05-12|50.00|REDUCED|0.00|2005-06-21||
2920|Ameritas Life Insurance Corporation|November|2005-12-12|2006-09-27|750.00|PAID|||2006-10-19|
2571|Grubb & Ellis/Pacific Realty|April|2005-05-10|2005-05-18|250.00|RED/PAID|25.00|2005-07-18|2005-07-18|
2572|Cox Communications|March|2005-04-11|2005-05-26|750.00|PAID|||2005-07-15|
2592|Nabity Financial Group|June|2005-07-11|2005-07-13|50.00|RED/PAID|25.00|2005-09-26|2005-09-26|
2593|Catholic Archbishop of Omaha|January|2004-11-10|2005-08-08|750.00|PAID|||2005-09-21|
2594|Novartis Pharmaceuticals Corporation|May|2005-06-10|2005-07-25|750.00|REDUCED|0.00|2005-09-09||
2595|Omaha Exposition & Racing, Inc.|January|2004-12-10|2005-08-22|750.00|PAID|||2005-08-22|
2615|Check Into Cash|January|2005-10-11|2005-10-17|150.00|REDUCED|0.00|2005-12-14||
2783|A-1 Movers of America, Inc|January|2006-05-10|2006-05-17|175.00|PAID|||2006-06-16|
2622|MPE Investments|October|2004-11-10|2005-10-25|750.00|REDUCED|0.00|2005-11-01||
2623|Midlands Packaging|August|2005-09-12|2005-09-21|225.00|REDUCED|0.00|2005-11-10||
2624|NE Public Employees Local 251|August|2005-09-12|2005-09-28|400.00|PAID|||2005-11-10|
2625|Recording Industry Association of America|January|2005-10-11|2005-10-17|150.00|REDUCED|0.00|2005-12-14||
2626|Wal-Mart Stores, Inc.|January|2005-09-12|2005-10-25|750.00|REDUCED|0.00|2005-12-09||
2627|Woltemath-Otis Development, Inc.|August|2005-09-12|2005-09-16|100.00|REDUCED|0.00|2005-11-07||
2632|Haskell Company|January|2005-02-10|2005-10-07|750.00|REDUCED|0.00|2005-11-08||
2784|Aamco Transmissions|October|2006-11-10|2006-04-14|750.00|REDUCED|0.00|2006-06-27||
2785|Alticor, Inc|April|2005-05-10|2006-04-07|750.00|REDUCED|0.00|2006-06-01||
2786|American Building Supply Installed Products, Inc|April|2005-05-10|2006-03-31|750.00|REDUCED|0.00|2006-06-01||
2787|B & R Stores, Inc|November|2005-12-10|2006-03-31|750.00|PAID|||2006-06-12|
2788|Beveridge Well Drilling, Inc|January|2006-02-10|2006-05-11|750.00|REDUCED|0.00|2006-06-01||
2789|Commonwealth Electric Company of the Midwest|January|2006-03-10|2006-04-12|750.00|REDUCED|0.00|2006-06-27||
2900|Omaha Police Uinon Local 101|March|2006-04-10|2006-09-15|750.00|PAID||1900-01-01|2006-09-14|
2919|Minatare Feedlot, Inc.|April|2006-05-10|2006-09-21|750.00|REDUCED|0.00|2006-09-29||
2792|Data Media Solutions|January|2006-03-10|2006-03-29|475.00|RED/PAID|25.00|2006-07-07|2006-07-07|
2793|Erickson & Sederstrom|March|2006-04-10|2006-04-21|275.00|RED/PAID|25.00|2006-06-14|2006-06-12|
2794|First Data Corporation|January|2006-04-10|2006-04-27|425.00|PAID|||2006-06-16|
2795|Great Plains Trails Network|January|2006-04-10|2006-05-08|700.00|REDUCED|0.00|2006-06-01||
2921|Behlen Manufacturing Co.|January|2006-09-11|2006-09-19|200.00|RED/PAID|25.00|2006-11-06|2006-11-06|
2797|Meadow Gold Dairy|January|2006-02-10|2006-05-08|750.00|REDUCED|0.00|2006-06-01||
2798|Monsanto Company|April|2006-05-10|2006-05-22|300.00|REDUCED|0.00|2006-06-07||
2799|N. Pitlor and Son, Inc|January|2006-05-10|2006-03-31|750.00|REDUCED|0.00|2006-06-01||
2922|Class I's Unted|May|2006-06-10|2006-09-28|750.00|PAID|||2006-11-13|
2923|InfoUSA, Inc.|February|2006-03-10|2006-09-29|750.00|REDUCED|0.00|2006-10-04||
2924|Precision Industries, Inc.|November|2005-12-12|2006-09-14|750.00|PAID|||2006-09-29|
2926|AARP of NE|August|2006-09-11|2006-10-06|625.00|PAID|||2006-11-28|
2927|Beringer Ciaccio Dennell Mabrey, Inc.|September|2006-10-10|2006-10-18|200.00|REDUCED|0.00|2006-11-09||
2928|Cingular Wireless|September|2006-10-10|2006-10-13|75.00|REDUCED|0.00|2006-11-09||
2929|Fraternal Order of Police Lodge #8|September|2006-10-10|2006-10-20|250.00|REDUCED|0.00|2006-10-20||
2930|Fremont Education Association|August|2006-09-11|2006-10-17|750.00|REDUCED|0.00|2006-11-09||
2962|Bert's Drug, Inc.|July|2006-08-10|2006-11-14|750.00|REDUCED|0.00|2006-12-01||
2932|International Union of Elevator Construction #28|August|2006-09-11|2006-10-06|625.00|REDUCED|0.00|2006-11-09||
2933|Jeff's L Street Auto's Inc.|January|2006-09-11|2006-10-17|750.00|REDUCED|0.00|2006-11-20||
2934|Medco Health Solutions|January|2006-10-10|2006-10-11|25.00|PAID|||2007-08-27|
2935|Merck & Co, Inc.|January|2006-10-10|2006-10-11|25.00|PAID|||2007-08-20|
2936|Omaha Emergency Physicians|July|2005-08-10|2006-10-11|750.00|REDUCED|0.00|2006-10-25||
2937|R.J. Reynolds Tobacco Co|August|2006-09-11|2006-10-04|575.00|PAID|||2006-11-02|
2938|VVS, Inc.|September|2006-10-10|2006-10-11|25.00|PAID|||2006-11-02|
2963|Carlson West Povondra Architects|August|2006-09-11|2006-11-14|750.00|REDUCED|0.00|2006-12-01||
2964|Cornerstone Printing & Imaging|June|2006-07-10|2006-11-02|750.00|REDUCED|0.00|2006-12-01||
2965|Omaha Police Union Local 101|January|2006-10-10|2006-11-28|750.00|REDUCED|0.00|||
2966|Union Pacific Railroad|January|2006-07-10|2006-11-13|750.00|REDUCED|0.00|2006-12-01||
2967|Westin, Inc.|September|2006-10-10|2006-11-20|750.00|REDUCED|0.00|2006-12-01||
2968|Whitehead Oil Co.|September|2006-10-10|2006-11-28|750.00|REDUCED|0.00|2006-12-11||
2974|General Concrete, Inc|May|2006-06-12|2006-12-08|750.00|REDUCED|0.00|2006-12-19||
2975|Future's Group, Inc|September|2006-10-10|2006-12-06|750.00|REDUCED|0.00|2006-12-19||
2976|Budget Car and Truck Rental|August|2006-09-11|2006-12-11|750.00|REDUCED|0.00|2006-12-26||
2977|Jameson Drilling|October|2006-11-10|2006-12-11|750.00|REDUCED|0.00|2006-12-26||
2978|Pamale, Inc|September|2006-10-10|2006-12-11|750.00|REDUCED|0.00|2006-12-26||
2980|Sterling Computers Corp|June|2006-07-10|2006-12-21|750.00|REDUCED|0.00|2007-01-03||
2981|NSASSP Region #2|June|2006-07-10|2006-12-18|750.00|REDUCED|0.00|2007-01-03||
2982|Hastings Keno, Inc|July|2006-08-10|2006-12-22|750.00|REDUCED|0.00|2007-01-03||
2983|Kearney Education Association|November|2006-12-11|2006-12-22|275.00|REDUCED|0.00|2007-01-25||
2984|Cargill|January|2006-06-10|2006-10-25|750.00|REDUCED|0.00|2007-01-17||
2985|Cargill|January|2006-09-10|2006-10-25|750.00|RED/PAID|25.00|2007-01-17|2007-01-16|
2986|Midwest Introductions, Inc|January|2006-10-10|2006-12-26|750.00|REDUCED|0.00|2007-03-22|1900-01-01|
2987|Eagle Capital Group, Inc|July|2006-08-10|2006-12-27|750.00|Reduced|0.00|2007-01-11||
3007|Bank of the West|October|2006-11-10|2007-02-07|750.00|REDUCED|0.00|2007-02-20||
2989|Pinnacle Bank (Lincoln)|January|2006-11-13|2006-12-04|525.00|PAID|||2006-12-04|
2992|Securitas Security Services|July|2006-08-10|2007-01-09|750.00|REDUCED|0.00|2007-01-25||
2991|Catholic Archbishop of Omaha|October|2006-11-13|2007-01-18|750.00|PAID|||2007-01-18|
2993|Securitas Security Services|September|2006-10-10|2007-01-09|1500.00|REDUCED|0.00|2007-01-25||
2994|Ameritas Investment Corp|January|2006-12-11|2007-01-23|750.00|REDUCED|0.00|2007-02-05|2007-02-05|
2995|Apollo Group, Inc|January|2007-01-10|2007-01-19|225.00|REDUCED|0.00|2007-02-16||
2996|Chief Industries, Inc|January|2006-11-13|2007-01-22|750.00|PAID|||2007-02-15|
2997|Horace Man|September|2006-10-10|2007-01-16|750.00|REDUCED|0.00|2007-02-05||
2998|Jensen Associates, Inc|October|2006-11-13|2007-01-19|750.00|REDUCED|0.00|2007-02-05||
2999|Ralston Education Association|October|2006-11-13|2007-01-17|750.00|REDUCED|0.00|2007-02-05||
3000|Real Foods, Inc dba Chubb Foods|October|2006-11-13|2007-01-17|750.00|REDUCED|0.00|2007-02-05||
3001|Sapp Brothers Truck Stops, Inc|October|2006-11-13|2007-01-18|750.00|REDUCED|0.00|2007-02-05||
3002|United Transportation Union|January|2007-01-10|2007-01-16|150.00|PAID|||2007-02-15|
3003|Ayars & Ayars|January|2006-05-10|2007-01-30|750.00|RED/PAID|25.00|2007-03-12|2007-03-12|
3004|NSEA Metro District|January|2006-11-13|2007-01-29|750.00|REDUCED|0.00|2007-02-12||
3005|NE State AFL-CIO|January|2006-11-13|2006-11-17|100.00|PAID|||2007-02-07|
3006|Ash Grove Cement Company|January|2007-01-10|2007-02-08|725.00|PAID|||2007-06-05|
2479|Complete Music|March|2005-04-12|2005-03-23|750.00|RED/PAID|0.00|2005-04-21||
2481|GWR Financial|January|2005-03-10|2005-03-31|525.00|RED/PAID|25.00|2005-05-04|2005-05-03|
2482|Hoegemeyer Palmer Construction, Inc.|February|2005-03-10|2005-04-08|725.00|RED/PAID|0.00|2005-04-22||
2528|Kirkham Michael & Associates, Inc.|March|2005-04-11|2005-05-18|750.00|REDUCED|0.00|2005-06-02||
2529|Kosman, Inc.|April|2005-05-10|2005-05-19|225.00|REDUCED|0.00|2005-06-02||
2530|Lund-Ross Constructors, Inc.|October|2004-11-10|2005-05-12|750.00|REDUCED|0.00|2005-05-24||
2532|Mactec Engineering & Consulting, Inc.|March|2005-04-11|2005-05-13|750.00|REDUCED|0.00|2005-05-24||
2546|Property Owners Association|March|2005-04-11|2005-05-23|750.00|REDUCED|0.00|2005-06-10||
2550|First Data Corporation|March|2005-04-11|2005-04-25|350.00|PAID|||2005-05-20|
2559|Mercer Management Company|April|2005-05-10|2005-05-13|75.00|REDUCED||2005-06-10||
2563|ASI Systems, Inc.|March|2005-04-11|2005-06-17|750.00|REDUCED|0.00|2005-06-23||
2565|Omaha Mail, Inc.|October|2004-11-10|2005-06-14|750.00|REDUCED|0.00|2005-06-23||
2579|All American Insurance|April|2005-05-10|2005-07-20|750.00|REDUCED|0.00|2005-08-09||
2580|Big Muddy Workshop, Inc.|April|2005-05-10|2005-07-11|750.00|REDUCED|0.00|2005-08-09||
2581|Birchwood Homes, Inc.|May|2005-06-10|2005-06-30|500.00|REDUCED||2005-08-09||
2582|DesignWear|May|2005-06-10|2005-07-07|675.00|REDUCED||2005-08-09||
2583|Eastern Nebraska Trails Network|April|2005-05-10|2005-07-05|750.00|REDUCED||2005-08-09||
2585|Sign Pro|March|2005-04-11|2005-07-18|0.00|REDUCED||2005-08-09||
2586|United Steelworkers of America #286|January|2005-06-10|2005-07-07|0.00|REDUCED|0.00|2005-08-09||
2587|Vetter Health Services|April|2005-05-10|2005-07-14|750.00|REDUCED|0.00|2005-08-09||
2591|Gentran Corporation|January|2005-06-10|2005-07-06|650.00|PAID|||2005-08-30|
2604|Nebraskans for Workers Comp Equity & Fairness|July|2005-08-10|2005-08-17|175.00|REDUCED|0.00|2005-09-19||
2617|Community Internet Services, Inc.|June|2005-07-11|2005-10-07|750.00|REDUCED|0.00|2005-11-16||
2628|BKH Popcorn, Inc.|August|2005-09-12|2005-10-17|750.00|REDUCED|0.00|2005-11-07||
2630|Ebay, Inc.|March|2005-04-11|2005-10-27|750.00|REDUCED|0.00|2005-11-07||
2631|Great Plains Oral Surgery and Implant Center|July|2005-08-10|2005-09-01|550.00|PAID|||2005-12-12|
2635|Firstar Fiber|January|2005-02-10|2005-10-27|750.00|REDUCED|0.00|2005-11-10||
2636|Firstar Fiber|April|2005-05-10|2005-10-27|750.00|REDUCED|0.00|2005-11-10||
