Committee Name|Committee ID|Date Received|Transaction Date|Amount|Type of Transaction|Description
WATSON COMMITTEE, THE|99CAC00126|2000-01-24|1999-01-06|20|C|CHECK 1027 RETURNED BY STATE OF NE      
COMMITTEE TO RE-ELECT CHRIS ABBOUD TO THE LEGISLAT|99CAC00138|2001-01-31|2001-01-01|1084|C|REIMBURSE COMMITTEE                     
SUBBY ANZALDO FOR CITY COUNCIL (DISSOLVED)|99CAC00140|2000-01-21|1998-01-08|20|C|CHECK 1844 STILL OUTSTANDING            
SUBBY ANZALDO FOR CITY COUNCIL (DISSOLVED)|99CAC00140|2000-01-21|1997-04-01|23|C|CHECK 1729 STILL OUTSTANDING            
SUBBY ANZALDO FOR CITY COUNCIL (DISSOLVED)|99CAC00140|2000-01-21|1997-03-17|15|C|CHECK 1707 STILL OUTSTANDING            
BLANKENSHIP FOR COUNCIL COMMITTEE (DISSOLVED)|99CAC00146|2004-12-30|2004-12-23|8.67|O|DISBURSED CAMPAIGN FUNDS TO KCHS FOUNDAT
ANNE BOYLE FOR PUBLIC SERVICE COMMISSION (DISSOLVE|99CAC00149|2005-01-25|2004-12-31|150|A|REBATE RECEIPT FROM SPRINT
ANNE BOYLE FOR PUBLIC SERVICE COMMISSION (DISSOLVE|99CAC00149|2004-01-28|2003-03-26|1300|C|DATE CASH REFUND TO NESTATETPEL FOR CFLA
FRANK BROWN FOR CITY COUNCIL|99CAC00151|2009-05-20|2009-04-27|2000|A|Contributions from April fundraiser
BRUNING FOR LEGISLATURE DISSOLVED)|99CAC00152|2001-06-12|2001-06-12|46991.78|O|MISC. ADDT FROM SALE OF INVESTMENTS     
BRUNING FOR LEGISLATURE DISSOLVED)|99CAC00152|2001-06-12|2001-06-12|72483.68|O|TRANSFER TO BRUNING FOR ATTORNEY GENERAL
BRUNING FOR LEGISLATURE DISSOLVED)|99CAC00152|2000-04-10|2000-03-06|38731|O|NE GENERAL OBLIGATION TAX FREE BONDS    
BRUNING FOR LEGISLATURE DISSOLVED)|99CAC00152|2000-04-10|2000-03-06|10000|O|INVESTMENT 1000 UNITS NUVEEN SECTOR PORT
BRUNING FOR LEGISLATURE DISSOLVED)|99CAC00152|2000-01-19|1999-04-05|1007|C|SALE OF 1/2 OF NEW COMPUTER FOR PERSONAL
BRUNING FOR LEGISLATURE DISSOLVED)|99CAC00152|2000-01-19|1999-04-01|730|C|SALE OF OLD COMPUTERS                   
BRUNING FOR LEGISLATURE DISSOLVED)|99CAC00152|2000-01-19|1999-04-05|2013.99|C|NE FURNITURE MART COMPUTER PURCHASE     
MIKE CAVANAUGH FOR O.P.P.D.|99CAC00154|2004-08-19|2004-08-12|39.56|O|TRANSFER TO CITY COUNCIL COMMITTEE      
TOM CAVANAUGH FOR COUNTY CLERK|99CAC00155|2015-02-04|2014-12-31|40.2|O|Misc variance prior Treasurer change 11
TOM CAVANAUGH FOR COUNTY CLERK|99CAC00155|2015-02-04|2014-12-31|95|A|Issued 2012 ch#1028 95. Never cashed
DAN PITTMAN FOR SARPY COUNTY ASSESSOR|99CAC00354|2001-02-12|2000-05-19|26.5|O|FINE FOR LATE FILING FEE TO NADC        
BOB TWISS FOR OPPD COMMITTEE|99CAC00368|2008-01-28|2007-12-31|47|A|transfer from Bob Twiss for Legislature
FARMERS AND RANCHERS FOR TAX FAIRNESS|99BQC00027|2000-02-23|1999-10-19|2055|O|PAYABLE TO CENTER FOR RURAL AFFAIRS FORG
FARMERS AND RANCHERS FOR TAX FAIRNESS|99BQC00027|2000-02-23|1999-10-19|750|O|PLEDGE DETERMINED TO BE UNCOLLECTABLE   
QUANDAHL FOR LEGISLATURE (DISSOLVED)|99CAC00384|2002-01-30|2001-08-20|779|C|EXCESS CFLA LIMIT RETURED TO STATE CHAMB
QUANDAHL FOR LEGISLATURE (DISSOLVED)|99CAC00384|2000-10-31|2000-10-23|-15|C|CHECK BOOK ERROR                        
QUANDAHL FOR LEGISLATURE (DISSOLVED)|99CAC00384|2000-04-12|2000-04-04|-25|C|CHECKBOOK ERROR                         
ANNETTE MCROY FOR CITY COUNCIL (DISSOLVED)|99CAC00385|2010-05-04|2009-12-31|-2|A|Overstated contribution on 2007 Post Gen
ANNETTE MCROY FOR CITY COUNCIL (DISSOLVED)|99CAC00385|2010-05-04|2009-12-31|-250|A|Expenditures omitted from 2007 Post Gen
ANNETTE MCROY FOR CITY COUNCIL (DISSOLVED)|99CAC00385|2010-05-04|2009-12-31|-2|A|Overstated contributions on 2nd Pri 2007
ANNETTE MCROY FOR CITY COUNCIL (DISSOLVED)|99CAC00385|2010-05-04|2009-12-31|-205.12|A|Expenditure omitted from 2004 Annual
NEBRASKANS FOR LIMITED TERMS (DISSOLVED)|99BQC00032|2002-01-29|2002-10-29|160.75|C|TO REFLECT ACTUAL CASH BALANCE          
NEBRASKANS FOR LIMITED TERMS (DISSOLVED)|99BQC00032|2000-05-31|2000-04-27|100|O|LATE FILING FEE                         
NEBRASKANS FOR LIMITED TERMS (DISSOLVED)|99BQC00032|2000-05-31|2000-04-27|44|O|POST OFFICE BOX RENT                    
NEBRASKANS FOR LIMITED TERMS (DISSOLVED)|99BQC00032|1999-11-01|1999-10-05|150|O|PAYMENT FOR STORAGE OF PETITIONS        
ERROL WELLS FOR LEGISLATURE COMMITTEE|99CAC00404|2001-01-09|2000-01-04|.06|C|MISREAD CHECK AMOUNT WHEN ENTERING      
ERROL WELLS FOR LEGISLATURE COMMITTEE|99CAC00404|2001-01-09|2000-01-04|100|C|ADJUSTMENT FROM NADC                    
ERROL WELLS FOR LEGISLATURE COMMITTEE|99CAC00404|2000-05-01|2000-04-24|26.79|C|PURCHASED CHECKS FOR BANK ACCT.         
CLIFF HERD FOR CITY COUNCIL DISTRICT 6|99CAC00406|2001-03-06|2001-01-05|6000|O|REF TO CONTRIB: GEORGE GROGAN           
CLIFF HERD FOR CITY COUNCIL DISTRICT 6|99CAC00406|2001-03-06|2001-01-04|500|O|REF OF DEP TO THE LUND CO.              
BOB DICKEY FOR LEGISLATURE|99CAC00407|2002-01-16|2001-01-08|126|O|REFUND ON OVER CHARGE - KTCH WAYNE RADIO
BOB DICKEY FOR LEGISLATURE|99CAC00407|2002-01-16|2001-01-31|67.97|O|INTEREST ON CHECKING                    
BOB DICKEY FOR LEGISLATURE|99CAC00407|2001-01-17|2000-11-30|6.22|O|INTEREST, CHECKING ACCOUNT              
BOB DICKEY FOR LEGISLATURE|99CAC00407|2001-01-17|2000-10-31|24.92|O|INTEREST, COLERIDGE BANK                
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-10-11|2000-08-22|78.98|O|INTEREST - COOLRIDGE BANK               
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-06-20|2000-05-30|26.55|O|INTEREST COLERIDGE NATIONAL BANK        
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-06-20|2000-04-30|28.13|O|INTEREST COLERIDGE NATIONAL BANK        
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-04-10|2000-03-28|11.46|O|COLERIDGE NATIONAL BANK - INTEREST      
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-04-10|2000-02-29|8.09|O|COLERIDGE NATIONAL BANK - INTEREST      
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-04-10|2000-01-31|8.61|O|COLERIDGE NATIONAL BANK - INTEREST      
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-01-28|1999-12-31|6.82|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-01-28|1999-11-30|4.69|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-01-28|1999-10-30|4.52|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-01-28|1999-09-30|4.4|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-01-28|1999-08-30|4.57|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-01-28|1999-07-30|6.67|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-01-28|1999-06-30|8.37|C|INTEREST                                
BOB DICKEY FOR LEGISLATURE|99CAC00407|2000-01-28|1999-05-30|2.4|C|INTEREST                                
FERLIC FOR REGENT|99CAC00408|2006-10-26|2006-10-11|127|A|REFUND FROM ADVERTISING AND SUPPLY FOR W
HEIER FOR COUNTY COMMISSIONER|99CAC00410|2014-05-07|2013-12-31|435|A|Rerturned remaining funds to contributor
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|2009-01-22|2008-05-02|114.35|A|Reimbursement for tuxedo rental in 2007
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|2008-01-28|2007-12-31|1297.53|A|reimburse campaign account
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|2004-05-03|1900-01-01|0|C|                                        
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|2004-04-13|2004-01-27|500|C|DEDUCTION FROM SENATOR'S CHECKING ACCT  
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|2004-02-02|2003-01-27|500|C|DEDUCTION FROM SENATOR'S ACCOUNT TO ADJU
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|2003-01-28|2002-02-25|673.39|O|SEN. AGUILAR REIMBURSED CAMPAIGN ACCOUNT
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|2002-01-30|2001-10-15|50|C|CHECK ERROR                             
RAY AGUILAR FOR LEGISLATURE (DISSOLVED)|99CAC00411|2002-01-30|2001-01-12|242.16|C|DUPLICATION OF CHECKS ADJUSTMENT        
MATTHEW L. MONTAG (DISSOLVED)|99CAC00416|2002-02-01|2002-12-31|226.48|C|RETURN OF CONTRIBUTION TO CANDIDATE     
VOTE NO ON DOMA COMMITTEE|99BQC00046|2000-12-20|2000-11-20|936|C|REFUND FROM ZAISS & CO FOR UNUSED MEDIA 
VOTE NO ON DOMA COMMITTEE|99BQC00046|2000-12-20|2000-11-17|200|C|UNUSED PETTY CASH RETURNED              
VOTE NO ON DOMA COMMITTEE|99BQC00046|2000-12-20|2000-11-17|250|C|SALE OF COMPUTER                        
VOTE NO TO SAVE LIVES|99BQC00048|2002-02-19|2001-07-12|738.67|O|REFUNDED TO LINCOLN FIREFIGHTERS ASSN 64
NE COALITION FOR THE PROTECTION OF MARRIAGE CORP.|99BQC00050|2004-02-03|2003-05-28|557.72|C|REFUND FROM POSTMASTER                  
ADAMS FOR MAYOR (DISSOLVED)|99CAC00509|2000-12-20|2000-11-29|1500|O|REFUND MONIES FROM ST OF NE A&D COMM REQ
ADAMS FOR MAYOR (DISSOLVED)|99CAC00509|2000-09-26|2000-03-24|500|A|                                        
NEBRASKANS AGAINST OUTSIDE INFLUENCE (DISSOLVED)|99BQC00058|2002-01-29|2001-11-06|15|C|RETURN MAIL FROM UNION BANK OCT/NOV/DEC 
PATRICK LEAHY FOR METRO COLLEGE (DISSOLVED)|99CAC00530|2005-01-07|2004-11-06|122.07|O|RETURN OF STAKE'S NOT USED TO LOWE'S    
PATRICK LEAHY FOR METRO COLLEGE (DISSOLVED)|99CAC00530|2007-02-02|2007-04-02|180.65|A|dissolution of funds to commmittee's con
CITIZENS FOR QUALITY GROWTH (DISSOLVED)|99BQC00060|2001-04-09|2001-03-20|100|C|VOID CK TO CITY CLERK FOR SIGN PERMITS  
JON CARLSON FOR CITY COUNCIL|99CAC00545|2015-02-02|2014-04-16|20|A|DEPOSIT TO CHECKING
JON CARLSON FOR CITY COUNCIL|99CAC00545|2015-02-02|2014-04-15|-5|A|DORMANT CHECKING ACCOUNT FEE
JON CARLSON FOR CITY COUNCIL|99CAC00545|2015-02-02|2014-03-15|-5|A|DORMANT CHECKING ACCOUNT FEE
JON CARLSON FOR CITY COUNCIL|99CAC00545|2015-02-02|2014-02-15|-5|A|DORMANT CHECKING ACCOUNT FEE
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|2012-01-30|2011-12-14|81099.11|O|cash in certificates of deposit
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|2005-01-12|2004-02-27|-30532.92|C|DEPOSITED INTO TWO CERTIFICATES OF DEPOS
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|2004-02-03|2003-01-10|14156.56|C|THIS AMOUNT WAS DEPOSITED INTO A C.D.   
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|2003-01-30|2002-12-31|144.89|O|INTEREST ON CD ADDED BACK TO PRINCIPAL  
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|2002-02-04|2001-07-02|6000|O|TRANSFER FROM CHECKING TO CD            
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|2008-01-29|2007-12-31|1384.7|O|interest income to cd
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|2008-01-29|2007-12-21|31105.22|O|transfer to cd
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|2008-01-29|2007-05-17|35000|O|transfer to cd
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|2006-01-23|2005-06-13|8000|A|CD PURCHASED FOR $8000
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|2005-03-05|2005-02-28|30209.9|A|CASHED IN CERTIFICATE OF DEPOSIT
THE COMMITTEE TO ELECT CHUCK SIGERSON|99CAC00547|2005-03-05|2005-02-16|20600.43|A|CASHED IN CERTIFICATE OF DEPOSIT
LANGDON FOR CITY COUNCIL|99CAC00549|2001-12-18|2001-05-11|650.99|C|CARRY FORWARD ERR FROM 03-20-01 TO 05-08
LANGDON FOR CITY COUNCIL|99CAC00549|2001-05-14|2001-05-11|100|C|ERROR ON SUMMARY OF RECEIPTS            
LANGDON FOR CITY COUNCIL|99CAC00549|2001-05-14|2001-05-11|750|C|ERROR ON SUMMARY OF RECEIPTS            
SIVICK FOR CITY COUNCIL|99CAC00550|2001-05-08|2001-04-09|506.53|C|REFUND FROM GOODKIND & GOODKIND         
CITIZENS FOR GERNANDT|99CAC00552|2015-02-02|2014-12-31|5.3|A|interest from account
CITIZENS FOR GERNANDT|99CAC00552|2013-05-06|2013-03-29|.85|A|monthly interest for first national bank
CITIZENS FOR GERNANDT|99CAC00552|2013-01-30|2012-07-02|300|A|refund for storage of stage
CITIZENS FOR GERNANDT|99CAC00552|2013-03-26|2013-02-28|.78|A|monthly interest
CITIZENS FOR GERNANDT|99CAC00552|2015-02-02|2014-01-06|249|A|check returned
CITIZENS FOR GERNANDT|99CAC00552|2013-06-24|2013-04-30|.9|A|monthly interest for april
CITIZENS FOR GERNANDT|99CAC00552|2013-01-30|2012-12-31|10.44|A|total of 2012 monthly interest from fn b
CITIZENS FOR GERNANDT|99CAC00552|2014-01-30|2013-12-31|4.42|A|total monthly interest for this period
CITIZENS FOR GERNANDT|99CAC00552|2013-06-24|2013-05-31|1.15|A|monthly interest for may
CITIZENS FOR GERNANDT|99CAC00552|2013-03-26|2013-03-04|9.34|A|pay pal test transfer
CITIZENS FOR GERNANDT|99CAC00552|2013-03-05|2013-01-31|.83|A|monthly interest
CITIZENS FOR GERNANDT|99CAC00552|2012-01-26|2011-12-31|4.38|A|total of interest from fn bank
CITIZENS FOR GERNANDT|99CAC00552|2012-01-26|2011-07-05|300|A|return check #1734
CITIZENS FOR GERNANDT|99CAC00552|2003-01-31|2002-12-31|-63.2|C|MATH ERROR                              
CITIZENS FOR GERNANDT|99CAC00552|2003-01-31|2002-12-31|-15.13|C|BANK FEES & SERVICE CHARGES             
CITIZENS FOR GERNANDT|99CAC00552|2003-01-31|2002-12-29|-150|A|OUTSTANDING CHECKS                      
CITIZENS FOR GERNANDT|99CAC00552|2001-06-26|2001-05-21|226.72|C|REFUND FROM DCM                         
CITIZENS FOR GERNANDT|99CAC00552|2001-06-26|2001-05-01|-100|C|RETURNED CHECK                          
CITIZENS FOR GERNANDT|99CAC00552|2001-03-26|2001-02-28|10|C|BANK EARNINGS CREDIT                    
CITIZENS FOR GERNANDT|99CAC00552|2001-03-26|2001-02-28|2.55|C|BANK FEE                                
CITIZENS FOR GERNANDT|99CAC00552|2001-03-26|2001-02-28|50|C|RETURN CHECK                            
CITIZENS FOR GERNANDT|99CAC00552|2009-03-30|2009-03-15|50|A|OCCC (outstanding check)
CITIZENS FOR GERNANDT|99CAC00552|2009-03-30|2009-03-04|12|A|cleared br neighbor association
CITIZENS FOR GERNANDT|99CAC00552|2009-03-30|2009-03-05|8918.45|A|cleared design 4 campaign signs
CITIZENS FOR GERNANDT|99CAC00552|2008-01-31|2007-12-31|1000|A|outstanding check truman dinner
CITIZENS FOR GERNANDT|99CAC00552|2008-01-31|2007-12-31|25|A|outstanding check nordquist for legislat
CITIZENS FOR GERNANDT|99CAC00552|2008-01-31|2007-12-31|51.15|A|outstanding check mathew bender & co
CITIZENS FOR GERNANDT|99CAC00552|2008-01-31|2007-12-31|75|A|outstanding check south omaha optimist c
CITIZENS FOR GERNANDT|99CAC00552|2008-01-31|2007-12-31|25|A|outstanding check st. peter & paul churc
CITIZENS FOR GERNANDT|99CAC00552|2008-01-31|2007-12-31|20|A|outstanding check q street merchants
CITIZENS FOR GERNANDT|99CAC00552|2009-05-05|2009-03-24|50|A|occc(outstanding check)
CITIZENS FOR GERNANDT|99CAC00552|2009-03-30|2009-03-13|73|A|clearedhdz annual dues
CITIZENS FOR GERNANDT|99CAC00552|2009-03-30|2009-03-06|500|A|clearedjessica r campaign mgr fees
CITIZENS FOR GERNANDT|99CAC00552|2011-01-31|2010-03-31|50|A|Return Check #1664
CITIZENS FOR GERNANDT|99CAC00552|2009-03-12|2009-03-02|8918.45|A|Design 4 Campaign signs
CITIZENS FOR GERNANDT|99CAC00552|2009-03-12|2009-03-03|73|A|HDZ annual dues
CITIZENS FOR GERNANDT|99CAC00552|2009-03-12|2009-03-02|500|A|Jessica R; Campaign Mgr fees
CITIZENS FOR GERNANDT|99CAC00552|2009-03-12|2009-02-26|12|A|BR Neighbor Association
CITIZENS FOR GERNANDT|99CAC00552|2009-01-27|2008-12-24|40|A|Check # 1569
CITIZENS FOR GERNANDT|99CAC00552|2009-01-27|2008-11-10|20|A|Check #1555
CITIZENS FOR GERNANDT|99CAC00552|2010-01-28|2009-12-21|55.09|A|Outstanding ck 
CITIZENS FOR GERNANDT|99CAC00552|2010-01-28|2009-11-23|10|A|Outstanding ck 
CITIZENS FOR GERNANDT|99CAC00552|2010-01-28|2009-09-02|25|A|Outstanding ck 
CITIZENS FOR GERNANDT|99CAC00552|2007-01-29|2006-12-31|49.12|A|outstanding check
CITIZENS FOR GERNANDT|99CAC00552|2007-01-29|2006-12-31|35.92|A|outstanding check
GALE FOR SECRETARY OF STATE|99CAC00553|2015-01-16|2014-12-31|-2.38|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2015-01-16|2014-11-12|1500|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|2014-01-31|2013-05-22|10016.22|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2013-01-30|2012-02-29|17.54|A|Cell Phone Refund - Verizon
GALE FOR SECRETARY OF STATE|99CAC00553|2013-01-30|2012-12-31|-6|A|Transfer to Savings
GALE FOR SECRETARY OF STATE|99CAC00553|2013-01-30|2012-02-29|300|A|Transfer to Checking
GALE FOR SECRETARY OF STATE|99CAC00553|2015-01-16|2014-11-17|500|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|2014-10-03|2014-06-30|-7.46|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2014-04-14|2014-02-28|100|A|adj for 2-50.00 outstanding checks
GALE FOR SECRETARY OF STATE|99CAC00553|2015-01-16|2014-12-03|6000|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|2015-01-16|2014-11-26|200|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|2015-01-16|2014-10-31|-1.88|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2014-04-14|2014-04-08|-5.46|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2013-01-30|2012-01-31|500|A|Transfer to Checking 
GALE FOR SECRETARY OF STATE|99CAC00553|2012-02-03|2011-12-31|-14.33|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2012-02-03|2011-12-09|1300|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|2012-02-03|2011-03-30|3000|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|2012-02-03|2011-02-28|80.06|A|telephone refund - verizon
GALE FOR SECRETARY OF STATE|99CAC00553|2012-02-03|2011-02-28|1192.52|A|advertising refund - radio media
GALE FOR SECRETARY OF STATE|99CAC00553|2012-02-03|2011-01-31|2500|A|transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|2005-01-21|2004-12-31|20.61|O|TRANSFER SAVINGS                        
GALE FOR SECRETARY OF STATE|99CAC00553|2005-01-21|2004-03-03|8000|O|TRANSFER SAVINGS                        
GALE FOR SECRETARY OF STATE|99CAC00553|2003-01-08|2002-12-31|1888.47|O|TRANSFER FROM SAVINGS                   
GALE FOR SECRETARY OF STATE|99CAC00553|2003-01-08|2002-12-01|-24.36|O|TRANSFER TO SAVINGS                     
GALE FOR SECRETARY OF STATE|99CAC00553|2002-10-24|2002-10-09|-500|O|TRANSFER TO SAVINGS                     
GALE FOR SECRETARY OF STATE|99CAC00553|2002-10-24|2002-10-16|3000|O|TRANSFER FROM SAVINGS                   
GALE FOR SECRETARY OF STATE|99CAC00553|2002-10-24|2002-10-10|4000|O|TRANSFER FROM SAVINGS                   
GALE FOR SECRETARY OF STATE|99CAC00553|2002-10-24|2002-10-07|8000|O|TRANSFER FROM SAVINGS                   
GALE FOR SECRETARY OF STATE|99CAC00553|2002-06-21|2002-04-13|77.1|C|TRANSFER TO SAVINGS                     
GALE FOR SECRETARY OF STATE|99CAC00553|2002-05-02|2002-04-13|1133.72|C|TRANSFER FROM SAVINGS                   
GALE FOR SECRETARY OF STATE|99CAC00553|2002-04-11|2002-01-15|15776.85|C|TRANSFER FROM SAVINGS                   
GALE FOR SECRETARY OF STATE|99CAC00553|2002-02-01|2001-12-31|31504|C|TRANSFER TO SAVINGS                     
GALE FOR SECRETARY OF STATE|99CAC00553|2002-01-31|2001-06-30|7723|C|TRANSFER TO SAVINGS                     
GALE FOR SECRETARY OF STATE|99CAC00553|2010-04-12|2010-02-02|206|A|reimburse campaign overpayment
GALE FOR SECRETARY OF STATE|99CAC00553|2010-01-30|2009-12-31|5.18|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2008-01-11|2007-03-30|26.96|O|Refund from Windstream exp 2007
GALE FOR SECRETARY OF STATE|99CAC00553|2008-01-11|2007-01-03|352|O|Refund from Continental Insur., exp 2006
GALE FOR SECRETARY OF STATE|99CAC00553|2008-01-11|2007-12-31|-53.6|O|Interest income deposited in savings acc
GALE FOR SECRETARY OF STATE|99CAC00553|2007-01-16|2006-12-31|17.59|A|INTEREST
GALE FOR SECRETARY OF STATE|99CAC00553|2006-01-27|2005-09-06|8700|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|2010-06-21|2010-05-28|-20.62|A|Transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2010-06-21|2010-04-30|-21.72|A|Transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2010-04-12|2010-01-29|-40000|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2010-04-12|2010-04-06|-23.8|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2010-04-12|2010-04-01|-22000|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2006-10-27|2006-10-16|192.6|O|VOIDED CHECK
GALE FOR SECRETARY OF STATE|99CAC00553|2011-01-11|2010-12-08|187|A|overpayment of insurance
GALE FOR SECRETARY OF STATE|99CAC00553|2011-01-11|2010-12-06|270.58|A|canceled insurance, reimb. premium
GALE FOR SECRETARY OF STATE|99CAC00553|2011-01-11|2010-12-31|-2.09|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2011-01-11|2010-11-30|-2.16|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2011-01-11|2010-10-29|-1.95|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2010-10-26|2010-09-30|-17.04|A|Transfer to Savings
GALE FOR SECRETARY OF STATE|99CAC00553|2010-10-04|2010-09-24|55000|A|Transfer to checking
GALE FOR SECRETARY OF STATE|99CAC00553|2010-10-04|2010-08-31|-20.64|A|Transfer to Savings
GALE FOR SECRETARY OF STATE|99CAC00553|2010-10-04|2010-07-30|-20.72|A|Transfer to Savings
GALE FOR SECRETARY OF STATE|99CAC00553|2010-10-04|2010-06-30|-24.31|A|Transfer to Savings
GALE FOR SECRETARY OF STATE|99CAC00553|2010-04-12|2010-01-11|.36|A|paypal verify
GALE FOR SECRETARY OF STATE|99CAC00553|2010-01-29|2009-06-30|5.5|A|transfer to savings
GALE FOR SECRETARY OF STATE|99CAC00553|2006-10-10|2006-09-25|9068.86|O|TRANSFER FROM SAVING TO CHECKING
GALE FOR SECRETARY OF STATE|99CAC00553|2006-10-10|2006-10-03|210.77|O|INTEREST EARNED IN SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|2006-10-10|2006-09-25|26567.33|O|TRANSFER FROM SAVINGS TO CHECKING
GALE FOR SECRETARY OF STATE|99CAC00553|2009-01-29|2008-12-31|-22.38|O|Interest Income deposited in savings acc
GALE FOR SECRETARY OF STATE|99CAC00553|2006-06-19|2006-05-10|1.74|O|INTEREST EARNED IN SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|2006-06-19|2006-05-31|40.99|O|INTEREST EARNED IN SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|2006-06-19|2006-04-28|24.03|O|INTEREST EARNED IN SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|2006-06-19|2006-05-17|11000|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|2006-05-02|2006-04-24|2.17|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|2006-04-10|2006-04-01|83.12|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|2006-03-31|2005-12-13|10000|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|2006-03-31|2005-12-31|71.09|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|2006-01-27|2005-05-01|1500|O|TRANSFER TO SAVINGS
GALE FOR SECRETARY OF STATE|99CAC00553|2006-01-27|2005-06-30|16.55|O|TRANSFER TO SAVINGS
DANEK FOR DISTRICT #1|99CAC00557|2005-03-16|2005-01-20|25|O|BANK INCENTIVE FOR NEW CHECKING ACCOUNT
LINCOLN LIAISON COMMITTEE (DISSOLVED 2001)|99BQC00064|2001-05-22|2001-05-22|130.22|C|CASHIERS CHECK TO UNITED WAY            
MAYHEW FOR SCHOOL BOARD|99CAC00560|2005-01-31|2004-12-31|119.4|C|BANK FEES - MONTHLY                     
MAYHEW FOR SCHOOL BOARD|99CAC00560|2011-02-10|2010-01-01|-2.5|O|WELLS FARGO BANK FEE FOR MAY 2009.
MAYHEW FOR SCHOOL BOARD|99CAC00560|2011-02-10|2010-01-01|-100|O|PAYMENT TO CHOCOLATE CAKE FOR INV #1309 - DIRECT MAIL PIECE.
